                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.69911,                0.79436,                0.64565,                0.91914,                0.95101,                0.91004,                0.96697,                0.82539,                0.95101,                0.91004,                0.97139,                0.81633,                0.61148,                0.67001,                0.57304,                0.90253,               0.000746,               0.000746,               0.000746
                     40,                0.68495,                0.83793,                0.62611,                0.92258,                 0.9613,                0.92188,                 0.9726,                0.83494,                 0.9613,                0.92188,                0.97357,                0.82481,                0.61304,                  0.695,                0.56732,                0.89962,               0.000713,               0.000713,               0.000713
                     41,                0.63613,                0.78932,                0.59763,                0.90317,                0.97899,                0.92188,                0.96163,                0.82251,                0.97899,                0.92188,                0.96218,                0.80112,                0.64753,                0.73788,                0.58651,                0.91932,                0.00068,                0.00068,                0.00068
                     42,                0.65751,                0.85789,                0.61995,                0.90744,                0.96758,                0.93265,                0.96847,                0.83142,                0.96758,                0.93265,                0.96847,                0.81103,                0.61284,                 0.7544,                0.55259,                  0.902,               0.000647,               0.000647,               0.000647
                     43,                0.64059,                0.84882,                0.58633,                0.89755,                0.97321,                0.90625,                0.97105,                0.83048,                0.97321,                0.90625,                0.97105,                 0.8128,                0.60163,                0.78059,                0.52957,                0.90304,               0.000614,               0.000614,               0.000614
                     44,                0.63905,                0.79136,                0.59005,                0.90535,                0.99368,                0.92188,                0.98086,                0.83789,                0.99368,                0.92188,                0.98086,                0.82438,                0.59722,                0.72272,                0.50375,                0.89726,               0.000581,               0.000581,               0.000581
                     45,                0.62689,                0.74272,                0.57148,                0.89378,                0.96762,                0.93402,                0.98008,                0.84954,                0.96762,                0.93402,                0.98008,                 0.8218,                0.57309,                0.70958,                0.51559,                0.88873,               0.000548,               0.000548,               0.000548
                     46,                0.64153,                0.79541,                0.55433,                 0.9028,                 0.9949,                0.92188,                0.97779,                0.83658,                 0.9949,                0.92188,                0.98133,                0.80776,                0.59041,                0.68854,                0.52367,                0.88755,               0.000515,               0.000515,               0.000515
                     47,                0.64313,                 0.8082,                0.57934,                0.89392,                0.96766,                0.93512,                0.98021,                0.83458,                0.96766,                0.93512,                0.98021,                0.81384,                0.59347,                0.67445,                0.52083,                0.88812,               0.000482,               0.000482,               0.000482
                     48,                0.62518,                  0.737,                0.53449,                0.92082,                0.96768,                0.93559,                0.98189,                0.85786,                0.96768,                0.93559,                0.98189,                0.83616,                0.55763,                0.68178,                0.48422,                0.87172,               0.000449,               0.000449,               0.000449
                     49,                0.60778,                 0.7492,                0.51981,                0.90894,                      1,                0.92165,                0.98088,                0.87171,                      1,                0.92165,                0.98253,                0.82859,                0.54631,                0.71283,                0.47176,                0.86906,               0.000416,               0.000416,               0.000416
                     50,                0.62954,                0.77683,                 0.5735,                0.91024,                0.96819,                0.95103,                0.98051,                0.87447,                0.96819,                0.95103,                0.98509,                0.83675,                0.53815,                0.67745,                0.46033,                 0.8635,               0.000383,               0.000383,               0.000383
                     51,                0.56187,                0.72516,                0.51053,                0.88074,                0.95147,                0.96875,                0.98903,                0.86777,                0.95147,                0.96875,                0.98903,                0.83156,                0.51983,                0.65649,                0.46374,                0.86092,                0.00035,                0.00035,                0.00035
                     52,                0.55028,                0.67401,                0.52625,                0.86524,                0.95325,                0.95574,                0.98819,                0.86559,                0.95325,                0.95574,                0.98819,                0.82842,                0.52424,                0.65214,                0.45912,                0.85777,               0.000317,               0.000317,               0.000317
                     53,                0.54118,                0.65941,                 0.4793,                0.86825,                0.98357,                0.93553,                0.98633,                0.87511,                0.98357,                0.93553,                0.98633,                0.83608,                0.51332,                0.64922,                0.44962,                0.85748,               0.000284,               0.000284,               0.000284
                     54,                0.51783,                0.66355,                0.45539,                0.85752,                0.98357,                0.93538,                0.98352,                0.87342,                0.98357,                0.93538,                0.98352,                0.83818,                0.49681,                0.64506,                0.43494,                0.85199,               0.000251,               0.000251,               0.000251
                     55,                0.51699,                0.62825,                0.46304,                0.84739,                0.99971,                0.92188,                 0.9793,                0.86631,                0.99971,                0.92188,                0.98375,                0.84217,                0.52929,                0.64815,                 0.4673,                0.86295,               0.000218,               0.000218,               0.000218
                     56,                0.50744,                0.64142,                0.45196,                 0.8382,                0.96817,                0.95067,                0.98226,                0.86535,                0.96817,                0.95067,                0.98497,                0.84612,                 0.5282,                0.64308,                0.47484,                0.86088,               0.000185,               0.000185,               0.000185
                     57,                0.49126,                0.58731,                0.43529,                0.82992,                0.96852,                0.96155,                0.98185,                0.86864,                0.96852,                0.96155,                0.98547,                0.84609,                0.50613,                0.62324,                0.46285,                0.85538,               0.000152,               0.000152,               0.000152
                     58,                0.47498,                0.58472,                 0.4296,                0.83872,                      1,                0.93544,                0.98137,                0.87055,                      1,                0.93544,                0.98137,                0.85038,                 0.4975,                0.61664,                0.43405,                0.84787,               0.000119,               0.000119,               0.000119
                     59,                0.46713,                0.60896,                 0.4141,                0.83262,                      1,                0.93659,                0.98213,                0.86889,                      1,                0.93659,                0.98213,                0.86152,                0.51035,                0.61872,                0.43881,                0.85164,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.46973,                0.59569,                0.41317,                0.83689,                      1,                0.93607,                0.98018,                0.86287,                      1,                0.93607,                0.98018,                0.86121,                0.50612,                0.61857,                 0.4384,                0.84838,                5.3e-05,                5.3e-05,                5.3e-05
